sim_id,outcome,trades_taken,final_equity,peak_equity,max_drawdown,max_win_streak,max_loss_streak
902,failed,13,24620.5,25668.0,1047.5,3,5
903,failed,124,24538.0,25832.25,1294.25,6,6
904,failed,54,25422.25,26433.0,1010.75,4,5
905,passed,67,26523.25,26523.25,983.75,5,5
906,failed,81,24970.25,26022.0,1051.75,6,6
907,passed,43,26561.25,26561.25,439.0,3,4
908,failed,80,24399.5,25769.75,1370.25,6,13
909,failed,106,25350.0,26477.25,1127.25,11,5
910,passed,37,26659.5,26659.5,690.5,3,3
911,passed,23,26505.25,26505.25,122.0,3,3
912,failed,40,24481.25,25546.25,1065.0,5,6
913,failed,6,23807.75,25000.0,1192.25,0,6
914,passed,19,26602.0,26602.0,180.0,12,1
915,passed,70,26641.0,26641.0,538.25,6,5
916,failed,74,24200.0,25232.25,1032.25,6,9
917,passed,57,26522.0,26522.0,502.5,3,5
918,failed,32,24992.5,26242.5,1250.0,3,5
919,failed,17,24739.0,25767.5,1028.5,4,4
920,failed,90,23962.0,25067.5,1105.5,3,12
921,passed,22,26507.75,26507.75,653.75,4,3
922,failed,35,24979.75,26109.25,1129.5,3,5
923,passed,55,26716.25,26716.25,742.0,6,10
924,failed,32,25077.0,26112.0,1035.0,3,5
925,failed,32,24184.75,25465.75,1281.0,2,9
926,passed,16,26599.75,26599.75,236.5,3,1
927,failed,13,24421.75,25634.5,1212.75,3,5
928,passed,32,26579.25,26579.25,776.5,9,4
929,failed,32,24097.25,25317.5,1220.25,3,6
930,passed,27,26503.75,26503.75,673.75,4,3
931,failed,57,25122.5,26209.25,1086.75,5,8
932,passed,38,26518.25,26518.25,496.5,4,3
933,failed,28,24203.25,25598.25,1395.0,3,5
934,failed,39,24443.5,25455.5,1012.0,4,12
935,passed,32,26856.0,26856.0,386.5,3,3
936,failed,22,23993.75,25000.0,1006.25,3,9
937,passed,112,26508.0,26508.0,831.25,4,6
938,failed,57,25173.25,26215.75,1042.5,7,5
939,failed,31,24018.5,25239.75,1221.25,3,7
940,passed,5,26529.75,26529.75,0.0,5,0
941,failed,46,24865.0,25940.5,1075.5,4,5
942,passed,22,26707.25,26707.25,687.75,4,3
943,failed,26,24721.0,25911.75,1190.75,4,7
944,failed,15,24186.0,25421.0,1235.0,2,10
945,failed,94,24876.25,25882.5,1006.25,4,7
946,failed,33,24206.25,25235.5,1029.25,3,7
947,failed,16,24705.0,25743.5,1038.5,7,5
948,failed,25,24495.25,25530.25,1035.0,3,3
949,passed,9,26582.0,26582.0,293.0,3,3
950,passed,24,26776.25,26776.25,384.0,4,3
951,passed,49,26599.25,26599.25,752.0,5,5
952,failed,15,23979.25,25000.0,1020.75,3,4
953,failed,32,25223.25,26287.25,1064.0,5,4
954,passed,61,26720.75,26720.75,834.0,5,5
955,failed,21,23894.0,25027.5,1133.5,6,5
956,failed,98,24801.25,25895.75,1094.5,5,8
957,failed,22,24772.0,25817.75,1045.75,5,9
958,failed,79,25268.5,26306.25,1037.75,4,9
959,passed,5,26556.25,26556.25,120.75,4,1
960,failed,30,24050.75,25119.0,1068.25,2,5
961,failed,50,24264.5,25291.0,1026.5,3,9
